CMOR Table aero: Monthly Mean Aerosol-Related Fields,,,,,aero,mon,,,,,,,,,,,,,,,,
(All Saved on the Atmospheric Grid),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
In CMOR Table aero: 2-D fields on atmospheric grid,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
,Aerosol Optics,,,,,,,,,,,,,,,,,,,,,
1.0,Ambient Aerosol Opitical Thickness at 550 nm,1.0,"atmosphere_optical_thickness_due_to_ambient_aerosol: AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.",,od550aer,atmosphere_optical_thickness_due_to_ambient_aerosol,,1.0,time: mean,,,,,,real,longitude latitude time,od550aer,aerosol,,area: areacella,,
1.0,Ambient Fine Aerosol Opitical Thickness at 550 nm,1.0,"atmosphere_optical_thickness_due_to_pm1_ambient_aerosol: od550 due to particles with wet diameter less than 1 um  (""ambient"" means ""wetted""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um. ",,od550lt1aer,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol,,1.0,time: mean,,,,,,real,longitude latitude time,od550lt1aer,aerosol,,area: areacella,,
1.0,Ambient Aerosol Absorption Optical Thickness at 550 nm,1.0,,,abs550aer,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol,,1.0,time: mean,,,,,,real,longitude latitude time,abs550aer,aerosol,,area: areacella,,
2.0,Ambient Aerosol Opitical Thickness at 870 nm,1.0,"atmosphere_optical_thickness_due_to_ambient_aerosol: AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.",,od870aer,atmosphere_optical_thickness_due_to_ambient_aerosol,,1.0,time: mean,,,,,,real,longitude latitude time,od870aer,aerosol,,area: areacella,,
,Aerosol Budgets,,,,,,,,,,,,,,,,,,,,,
1.0,Rate of Emission and Production of Dry Aerosol Total Organic Matter,kg m-2 s-1,"tendency of atmosphere mass content of organic matter dry aerosol due to net production and emission.  This is the sum of total emission of POA and total production of SOA (see next two entries), and it should only be reported if POA and SOA cannot be separately reported. ""Mass"" refers to the mass of organic matter, not mass of organic carbon alone. ",,emioa,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,emioa,aerosol,,area: areacella,,
1.0,Emission Rate of Dry Aerosol Primary Organic Matter,kg m-2 s-1,"tendency of atmosphere mass content of primary organic aerosol due to emission:  ""mass"" refers to the mass of primary organic matter, not mass of organic carbon alone.","In a previous message you said production referred to SOA, not POA, so I've removed ""production"" here and only use ""emission"".  Is this o.k.?",emipoa,,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,emipoa,aerosol,,area: areacella,,
1.0,Production Rate of Dry Aerosol Secondary Organic Matter,kg m-2 s-1,"tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then report the sum of POA and SOA emissions as POA emissions.  ""mass"" refers to the mass of primary organic matter, not mass of organic carbon alone.",,chepsoa,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,chepsoa,aerosol,,area: areacella,,
