CMOR Table  cfDay: CFMIP Daily-Mean Cloud Diagnostic Fields,,,,, cfDay,day,,,,,,,,,,,,,,,,
(All Saved on the Atmospheric Grid),,,,,,,,,,,,,,,,,,,,,,
"For further guidance, please see http://www.cfmip.net",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"The spread sheet ""CFMIP output"" specifies the simulations and time-periods for which the cloud diagnostic fields listed on this spread sheet should be saved.",,,,,,,,,,,,,,,,,,,,,,
"In CMOR Table  cfDay: ""CFMIP daily 2D"" -- daily mean 2-D fields including inline ISCCP/CloudSat/CALIPSO/ PARASOL simulator output",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1.0,Surface Air Pressure,Pa,,,ps,surface_air_pressure,,Pa,time: mean,,,,,,real,longitude latitude time,ps,atmos,,area: areacella,,
1.0,TOA Incident Shortwave Radiation,W m-2,,,rsdt,toa_incoming_shortwave_flux,,W m-2,time: mean,,,,,down,real,longitude latitude time,rsdt,atmos,,area: areacella,,
1.0,TOA Outgoing Shortwave Radiation,W m-2,,,rsut,toa_outgoing_shortwave_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,rsut,atmos,,area: areacella,,
1.0,Surface Downwelling Clear-Sky Shortwave Radiation ,W m-2,,,rsdscs,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,,W m-2,time: mean,,,,,down,real,longitude latitude time,rsdscs,atmos,,area: areacella,,
1.0,Surface Upwelling Clear-Sky Shortwave Radiation,W m-2,,,rsuscs,,,W m-2,time: mean,,,,,up,real,longitude latitude time,rsuscs,atmos,,area: areacella,,
1.0,Surface Downwelling Clear-Sky Longwave Radiation ,W m-2,,,rldscs,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,,W m-2,time: mean,,,,,down,real,longitude latitude time,rldscs,atmos,,area: areacella,,
1.0,TOA Outgoing Clear-Sky Longwave Radiation,W m-2,,,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,,W m-2,time: mean,,,,,up,real,longitude latitude time,rlutcs,atmos,,area: areacella,,
1.0,TOA Outgoing Clear-Sky Shortwave Radiation,W m-2,,,rsutcs,toa_outgoing_shortwave_flux_assuming_clear_sky,,W m-2,time: mean,,,,,up,real,longitude latitude time,rsutcs,atmos,,area: areacella,,
1.0,Total Cloud Fraction,% ,"for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.",,clt,cloud_area_fraction,,% ,time: mean,,,,,,real,longitude latitude time,clt,atmos,,area: areacella,,
1.0,Condensed Water Path,kg m-2 ,calculate mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Include precipitating hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.  ,,clwvi,atmosphere_cloud_condensed_water_content,,kg m-2 ,time: mean,,,,,,real,longitude latitude time,clwvi,atmos,,area: areacella,,
1.0,Ice Water Path,kg m-2 ,calculate mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Include precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.  ,,clivi,atmosphere_cloud_ice_content,,kg m-2 ,time: mean,,,,,,real,longitude latitude time,clivi,atmos,,area: areacella,,
1.0,omega (=dp/dt),Pa s-1,"at 500 hPa level; commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)",,wap500,lagrangian_tendency_of_air_pressure,,Pa s-1,time: mean,,,,,,real,longitude latitude time p500,wap500,atmos,,area: areacella,,
1.0,Air Temperature,K,at 700 hPa level,,ta700,air_temperature,,K,time: mean,,,,,,real,longitude latitude time p700,ta700,atmos,,area: areacella,,
1.0,Air Pressure at Convective Cloud Base,Pa,,,pccb,air_pressure_at_convective_cloud_base,,Pa,time: mean,,,,,,real,longitude latitude time,pccb,atmos,,area: areacella,,
1.0,Air Pressure at Convective Cloud Top,Pa,,,pcct,air_pressure_at_convective_cloud_top,,Pa,time: mean,,,,,,real,longitude latitude time,pcct,atmos,,area: areacella,,
1.0,Convective Precipitation,kg m-2 s-1 ,,,prc,convective_precipitation_flux,,kg m-2 s-1 ,time: mean,,,,,,real,longitude latitude time,prc,atmos,,area: areacella,,
1.0,Surface Upward Latent Heat Flux,W m-2,,,hfls,surface_upward_latent_heat_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,hfls,atmos,,area: areacella,,
1.0,Surface Upward Sensible Heat Flux,W m-2,,,hfss,surface_upward_sensible_heat_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,hfss,atmos,,area: areacella,,
1.0,Surface Downwelling Longwave Radiation,W m-2,,,rlds,surface_downwelling_longwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude time,rlds,atmos,,area: areacella,,
1.0,Surface Upwelling Longwave Radiation,W m-2,,,rlus,surface_upwelling_longwave_flux_in_air,,W m-2,time: mean,,,,,up,real,longitude latitude time,rlus,atmos,,area: areacella,,
1.0,Surface Downwelling Shortwave Radiation,W m-2,,,rsds,surface_downwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude time,rsds,atmos,,area: areacella,,
1.0,Surface Upwelling Shortwave Radiation,W m-2,,,rsus,surface_upwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,up,real,longitude latitude time,rsus,atmos,,area: areacella,,
1.0,TOA Outgoing Longwave Radiation,W m-2,,,rlut,toa_outgoing_longwave_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,rlut,atmos,,area: areacella,,
1.0,ISCCP Total Total Cloud Fraction,%,,,cltisccp,cloud_area_fraction,,%,time: mean,,,,,,real,longitude latitude time,cltisccp,atmos,,area: areacella,,
1.0,ISCCP Mean Cloud Albedo,1.0,"When computing time-means, weight by the ISCCP Total Cloud Fraction - see  http://www.cfmip.net/README",,albisccp,cloud_albedo,,1.0,time: mean,,,,,,real,longitude latitude time,albisccp,atmos,,area: areacella,,
1.0,ISCCP Mean Cloud Top Pressure,Pa ,"When computing time-means, weight by the ISCCP Total Cloud Fraction - see  http://www.cfmip.net/README",,pctisccp,air_pressure_at_cloud_top,,Pa ,time: mean,,,,,,real,longitude latitude time,pctisccp,atmos,,area: areacella,,
1.0,PARASOL Reflectance,1.0,Simulated reflectance from PARASOL as seen at the top of the atmosphere for 5 solar zenith angles. Valid only over ocean and for one viewing direction (viewing zenith angle of 30 degrees and relative azimuth angle 320 degrees).,,parsolRefl,toa_bidirectional_reflectance,,1.0,time: mean,,,,,,real,longitude latitude sza5 time,parsolRefl,atmos,,area: areacella,,
1.0,CALIPSO Total Cloud Fraction ,%,,,cltcalipso,cloud_area_fraction,,%,time: mean,,,,,,real,longitude latitude time,cltcalipso,atmos,,area: areacella,,
1.0,CALIPSO Low Level Cloud Fraction ,%,,,cllcalipso,cloud_area_fraction_in_atmosphere_layer,,%,time: mean,,,,,,real,longitude latitude time,cllcalipso,atmos,,area: areacella,,
1.0,CALIPSO Mid Level Cloud Fraction ,%,,,clmcalipso,cloud_area_fraction_in_atmosphere_layer,,%,time: mean,,,,,,real,longitude latitude time,clmcalipso,atmos,,area: areacella,,
1.0,CALIPSO High Level Cloud Fraction ,%,,,clhcalipso,cloud_area_fraction_in_atmosphere_layer,,%,time: mean,,,,,,real,longitude latitude time,clhcalipso,atmos,,area: areacella,,
"In CMOR Table  cfDay: ""CFMIP daily 3D"" --daily mean 3-D fields on model levels plus CALIPSO and ISCCP cloud fractions",,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1.0,Eastward Wind,m s-1 ,,,ua,eastward_wind,,m s-1 ,time: mean,,,,,,real,longitude latitude alevel time,ua,atmos,,area: areacella,,
