CMOR Table cfMon: CFMIP Monthly-Mean Cloud Diagnostic Fields,,,,,cfMon,mon,,,,,,,,,,,,,,,,
(All Saved on the Atmospheric Grid),,,,,,,,,,,,,,,,,,,,,,
"For further guidance, please see http://www.cfmip.net",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"The spread sheet ""CFMIP output"" specifies the simulations and time-periods for which the cloud diagnostic fields listed on this spread sheet should be saved.",,,,,,,,,,,,,,,,,,,,,,
"In CMOR Table cfMon: ""CFMIP monthly 3D""--monthly mean 3-D fields on model levels (or half levels in the case of fluxes)",,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1.0,Upwelling Longwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rlu,upwelling_longwave_flux_in_air,,W m-2,time: mean,,,,,up,real,longitude latitude alevhalf time,rlu,atmos,,area: areacella,,
1.0,Upwelling Shortwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rsu,upwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,up,real,longitude latitude alevhalf time,rsu,atmos,,area: areacella,,
1.0,Downwelling Longwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rld,downwelling_longwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude alevhalf time,rld,atmos,,area: areacella,,
1.0,Downwelling Shortwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rsd,downwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude alevhalf time,rsd,atmos,,area: areacella,,
1.0,Upwelling Clear-Sky Longwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rlucs,upwelling_longwave_flux_in_air_assuming_clear_sky,,W m-2,time: mean,,,,,up,real,longitude latitude alevhalf time,rlucs,atmos,,area: areacella,,
1.0,Upwelling Clear-Sky Shortwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rsucs,upwelling_shortwave_flux_in_air_assuming_clear_sky,,W m-2,time: mean,,,,,up,real,longitude latitude alevhalf time,rsucs,atmos,,area: areacella,,
1.0,Downwelling Clear-Sky Longwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rldcs,downwelling_longwave_flux_in_air_assuming_clear_sky,,W m-2,time: mean,,,,,down,real,longitude latitude alevhalf time,rldcs,atmos,,area: areacella,,
1.0,Downwelling Clear-Sky Shortwave Radiation,W m-2,Include also the fluxes at the surface and TOA.,,rsdcs,downwelling_shortwave_flux_in_air_assuming_clear_sky,,W m-2,time: mean,,,,,down,real,longitude latitude alevhalf time,rsdcs,atmos,,area: areacella,,
,,,,,,,,,,,,,,,,,,,,,,
