"CMOR Table Lmon: Monthly Mean Land Fields, Including ",,,,,Lmon,mon,,,,,,,,,,,,,,,,
"Physical, Vegetation, Soil, and Biogeochemical Variables",,,,,,,,,,,,,,,,,,,,,,
"(All fields should be saved on the atmospheric grid; unless otherwise indicated, values are averaged over only the land portion of each grid cell and report 0.0 where land fraction is 0.)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1.0,Moisture in Upper 0.1 m of Soil Column,kg m-2,Compute the mass of water in all phases in the upper 0.1 meters of soil.,,mrsos,moisture_content_of_soil_layer,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time sdepth1,mrsos,land,,area: areacella,,
1.0,Total Soil Moisture Content,kg m-2,Compute the mass per unit area  (summed over all soil layers) of water in all phases.,,mrso,soil_moisture_content,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,mrso,land,,area: areacella,,
1.0,Soil Frozen Water Content ,kg m-2,Compute the mass (summed over all all layers) of frozen water.,,mrlso,soil_frozen_water_content,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,mrlso,land,,area: areacella,,
1.0,Surface Runoff,kg m-2 s-1,Compute the total surface runoff leaving the land portion of the grid cell.,,mrros,surface_runoff_flux,,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,mrros,land,,area: areacella,,
1.0,Total Runoff,kg m-2 s-1,"compute the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.",,mrro,runoff_flux,,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,mrro,land,,area: areacella,,
2.0,Precipitation onto Canopy,kg m-2 s-1,Report the precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.,,prveg,precipitation_flux_onto_canopy,,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,prveg,land,,area: areacella,,
1.0,Evaporation from Canopy,kg m-2 s-1,Report the canopy evaporation+sublimation (if present in model).,,evspsblveg,water_evaporation_flux_from_canopy,,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,evspsblveg,land,,area: areacella,,
,,,,,,,,,,,,,,,,,,,,area: areacella,,
1.0,Water Evaporation from Soil,kg m-2 s-1,includes sublimation.  ,,evspsblsoi,water_evaporation_flux_from_soil,,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,evspsblsoi,land,,area: areacella,,
1.0,Transpiration,kg m-2 s-1,,,tran,transpiration_flux,,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,tran,land,,area: areacella,,
1.0, Water Content of Soil Layer,kg m-2,"in each soil layer, the mass of water in all phases, including ice.",,mrlsl,moisture_content_of_soil_layer,water_content_of_soil_layer,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude sdepth time,mrlsl,land,,area: areacella,,
2.0,Temperature of Soil,K,"Temperature of each soil layer.  Report as ""missing"" for grid cells occupied entirely by ""sea"".",,tsl,soil_temperature,,K,time: mean,,,,,,real,longitude latitude sdepth time,tsl,land,,area: areacella,,
1.0,Tree Cover Fraction,%,fraction of entire grid cell  that is covered by trees.  ,"I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",treeFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,treeFrac,land,,area: areacella,,
1.0,Natural Grass Fraction,%,fraction of entire grid cell that is covered by natural grass.  ,"I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",grassFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,grassFrac,land,,area: areacella,,
1.0,Shrub Fraction,%,fraction of entire grid cell  that is covered by shrub.,"I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",shrubFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,shrubFrac,land,,area: areacella,,
1.0,Crop Fraction,%,fraction of entire grid cell  that is covered by crop. ,"I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",cropFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,cropFrac,land,,area: areacella,,
1.0,Anthropogenic Pasture Fraction,%,fraction of entire grid cell  that is covered by anthropogenic pasture. ,"I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",pastureFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,pastureFrac,land,,area: areacella,,
1.0,Bare Soil Fraction,%,fraction of entire grid cell  that is covered by bare soil.,"I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",baresoilFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,baresoilFrac,land,,area: areacella,,
1.0,Fraction of Grid Cell that is Land but Neither Vegetation-Covered nor Bare Soil,%,"fraction of entire grid cell  that is land and is covered by ""non-vegetation"" and ""non-bare-soil"" (e.g., urban, ice, lakes, etc.) ","I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",residualFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,residualFrac,land,,area: areacella,,
1.0,Burnt Area Fraction,%,fraction of entire grid cell  that is covered by burnt vegetation.,"I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",burntArea,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,burntArea,land,,area: areacella,,
,Land Carbon & Biogeochemistry,,,,,,,,,,,,,,,,,land,,area: areacella,,
1.0,Carbon Mass in Vegetation,kg m-2,,,cVeg,vegetation_carbon_content,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cVeg,land,,area: areacella,,
1.0,Carbon Mass in Litter Pool,kg m-2,,,cLitter,litter_carbon_content,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cLitter,land,,area: areacella,,
1.0,Carbon Mass in Soil Pool,kg m-2,,,cSoil,soil_carbon_content,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cSoil,land,,area: areacella,,
1.0,Carbon Mass in Products of Land Use Change,kg m-2,,,cProduct,,PF: carbon_in_products_of_luc NOT PROPOSED,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cProduct,land,,area: areacella,,
1.0,Leaf Area Index,1.0,"projected leaf area per unit of ground area (i.e., only the land portion of the grid cell), expressed as a proper fraction (not a percentage)",,lai,leaf_area_index,,1.0,time: mean area: mean where land,,,,,,real,longitude latitude time,lai,land,,area: areacella,,
1.0,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,kg m-2 s-1,,,gpp,gross_primary_productivity_of_carbon,gross_primary_productivity_of_carbon? gross_primary_production,kg m-2 s-1,time: mean area: mean where land,,,,,down,real,longitude latitude time,gpp,land,,area: areacella,,
1.0,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land,kg m-2 s-1,,,ra,plant_respiration_carbon_flux,plant_respiration_carbon_flux? autotrophic_plant_respiration,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,ra,land,,area: areacella,,
1.0,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land,kg m-2 s-1,needed for models that do not compute GPP (if any),"should this be ""into Atmosphere "" rather than ""out of Atmosphere""?",npp,net_primary_productivity_of_carbon,net_primary_productivity_of_carbon?  net_primary_production,kg m-2 s-1,time: mean area: mean where land,,,,,down,real,longitude latitude time,npp,land,,area: areacella,,
1.0,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,kg m-2 s-1,,,rh,heterotrophic_respiration_carbon_flux,heterotrophic_respiration_carbon_flux? heterotrophic_respiration,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,rh,land,,area: areacella,,
1.0,Carbon Mass Flux into Atmosphere due to CO2 Emission from Fire,kg m-2 s-1,"CO2 emissions (expressed as a carbon mass flux) from natural fires + human ignition fires as calculated by the fire module of the DGVM, but excluding any CO2 flux from fire included in fLuc, defined below (CO2 Flux to Atmosphere from Land Use Change).",,fFire,,PF: co2_emission_from_fire NOT PROPOSED - recommend tendency_of_atmosphere_mass_content_of_carbon_dioxide_due_to_biomass_burning for consistency with chemistry names,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,fFire,land,,area: areacella,,
1.0,Carbon Mass Flux into Atmosphere due to Grazing on Land,kg m-2 s-1,,,fGrazing,,PF: co2_flux_to_atmosphere_from_grazing NOT PROPOSED - recommend tendency_of_atmosphere_mass_content_of_carbon_dioxide_due_to_grazing for consistency with chemistry names,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,fGrazing,land,,area: areacella,,
1.0,Carbon Mass Flux into Atmosphere due to Crop Harvesting,kg m-2 s-1,,,fHarvest,,PF: co2_flux_to_atmosphere_from_crop_harvesting NOT PROPOSED - recommend tendency_of_atmosphere_mass_content_of_carbon_dioxide_due_to_crop_harvesting for consistency with chemistry names,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,fHarvest,land,,area: areacella,,
1.0,Net Carbon Mass Flux into Atmosphere due to Land Use Change,kg m-2 s-1,"human changes to land (excluding forest regrowth) accounting possibly for different time-scales related to fate of the wood, for example.",,fLuc,,PF: co2_flux_to_atmosphere_from_land_use_change NOT PROPOSED - recommend tendency_of_atmosphere_mass_content_of_carbon_dioxide_due_to_land_use_change for consistency with chemistry names,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,fLuc,land,,area: areacella,,
1.0,Carbon Mass Flux out of Atmosphere due to Net Biospheric Production on Land,kg m-2 s-1,"This is the net mass flux of carbon between land and atmosphere calculated as photosynthesis MINUS the sum of  plant and soil respiration, carbonfluxes  from fire, harvest, grazing  and land use change. Positive flux  is into the land.",,nbp,,PF: net_biospheric_productivity  Is this the same as net_primary_productivity_of_carbon (also in cell G53)?,kg m-2 s-1,time: mean area: mean where land,,,,,down,real,longitude latitude time,nbp,land,,area: areacella,,
1.0,Total Carbon Mass Flux from Vegetation to Litter,kg m-2 s-1,,,fVegLitter,litter_carbon_flux,PF: carbon_flux_from_vegetation_into_litter total_carbon_flux_from_vegetation_to_litter,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,fVegLitter,land,,area: areacella,,
1.0,Total Carbon Mass Flux from Litter to Soil,kg m-2 s-1,,,fLitterSoil,,PF: carbon_flux_from_litter_into_soil total_carbon_flux_from_litter_to_soil NOT PROPOSED - recommend carbon_flux_from_litter_into_soil for consistency with water and salt flux names,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,fLitterSoil,land,,area: areacella,,
1.0,Total Carbon Mass Flux from Vegetation Directly to Soil,kg m-2 s-1,"In some models part of carbon (e.g., root exudate) can go directly into the soil pool without entering litter.",,fVegSoil,,PF: carbon_flux_into_soil_from_plants_excluding_litter total_carbon_flux_from_vegetation_directly_to_soil NOT PROPOSED - recommend carbon_flux_into_soil_from_plants_excluding_litter for consistency with water and salt flux names and runoff names,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,fVegSoil,land,,area: areacella,,
2.0,Carbon Mass in Leaves,kg m-2,,This field and some of the following may sum to yield some of the more generic carbon pool totals given above. ,cLeaf,,"carbon_in_leaves NOT PROPOSED - recommend leaf_carbon_content for consistency with soil_carbon_content, etc. PF agrees.",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cLeaf,land,,area: areacella,,
2.0,Carbon Mass in Wood,kg m-2,including sapwood and hardwood.,,cWood,,"carbon_in_wood NOT PROPOSED - recommend wood_carbon_content for consistency with soil_carbon_content, etc.  PF agrees",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cWood,land,,area: areacella,,
2.0,Carbon Mass in Roots,kg m-2,including fine and coarse roots.,,cRoot,,"carbon_in_roots NOT PROPOSED - recommend root_carbon_content for consistency with soil_carbon_content, etc.  PF agrees.",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cRoot,land,,area: areacella,,
2.0,Carbon Mass in Other Living Compartments on Land,kg m-2,"e.g., labile, fruits, reserves, .... ",,cMisc,,"carbon_in_other_living_compartments NOT PROPOSED - this should also be a carbon_content name, and we probably need something more specific than 'other_living_compartments' but I'm stuck for a suggestion here. PF agrees.",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cMisc,land,,area: areacella,,
2.0,Carbon Mass in Coarse Woody Debris,kg m-2,,,cCwd,,"carbon_in_coarse_woody_debris - NOT PROPOSED - recommend coarse_wood_debris_carbon_content or just wood_debris_carbon_content for consistency with soil_carbon_content, etc.  PF agrees.",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cCwd,land,,area: areacella,,
2.0,Carbon Mass in Above-Ground Litter,kg m-2,,,cLitterAbove,,"PF: aboveground_litter_carbon_content carbon_in_aboveground_litter NOT PROPOSED - recommend surface_litter_carbon_content for consistency with soil_carbon_content, etc. and runoff names",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cLitterAbove,land,,area: areacella,,
2.0,Carbon Mass in Below-Ground Litter,kg m-2,,,cLitterBelow,,"PF: belowground_litter_carbon_content carbon_in_aboveground_litter N.B. Should this be belowground litter? NOT PROPOSED - recommend subsurface_litter_carbon_content for consistency with soil_carbon_content, etc. and runoff names",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cLitterBelow,land,,area: areacella,,
2.0,Carbon Mass in Fast Soil Pool,kg m-2,"fast is meant as lifetime of less than 10 years for  reference climate conditions (20C, no water limitations).",,cSoilFast,,"carbon_in_fast_soil_pool NOT PROPOSED - recommend fast_soil_pool_carbon_content for consistency with soil_carbon_content, etc. PF agrees.",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cSoilFast,land,,area: areacella,,
2.0,Carbon Mass in Medium Soil Pool,kg m-2,"medium is meant as lifetime of more than than 10 years and less than 100 years for  reference climate conditions (20C, no water limitations)",,cSoilMedium,,"medium_soil_pool NOT PROPOSED - recommend medium_soil_pool_carbon_content for consistency with soil_carbon_content, etc.  PF agrees.",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cSoilMedium,land,,area: areacella,,
2.0,Carbon Mass in Slow Soil Pool,kg m-2,"fast is meant as lifetime of more than 100 years for  reference climate conditions (20C, no water limitations)",,cSoilSlow,,"carbon_in_slow_soil_pool NOT PROPOSED - recommend slow_soil_pool_carbon_content for consistency with soil_carbon_content, etc.  PF agrees.",kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,cSoilSlow,land,,area: areacella,,
2.0,Plant Functional Type Grid Fraction,%,"using each individual ESM PFT definition.   This includes natural PFTs, anthropogenic PFTs, bare soil, lakes, urban areas, etc.   Sum of all should equal the fraction of the grid-cell that is land.  Note that the ""types"" will be model dependent and for each type there should be a full description of the PFT (plant functional type).   To facilitate model comparison, it is also requested that the aggregated land cover types called for in lines 25 to 32 be archived (but not in this variable).",need to explain how to define vegtype.,landCoverFrac,area_fraction,,%,time: mean,,,,,,real,longitude latitude vegtype time,landCoverFrac,land,,area: areacella,,
