"CMOR Table Omon: Monthly Mean Ocean Fields, Including Biogechemical Fields",,,,,Omon,mon,,,,,,,,,,,,,,,,
(All Saved on the Ocean Grid),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
In CMOR Table Omon: Marine Biogeochemical 2-D Fields,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
2.0,Surface Concentration of (+name of tracer),"mol m-3 or kg m-3 or 1, consistent with first table in Oyr","surface concentrations of all 3D tracers. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.",,include Oyr 3D tracers,,,"mol m-3 or kg m-3 or 1, consistent with first table in Oyr",time: mean area: mean where sea,,,,,,real,longitude latitude time,,ocnBgchem,,area: areacello,,
1.0,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,"Vertically integrated total primary (organic carbon) production by phytoplankton.  This should equal the sum of intpdiat+intpphymisc, but those individual components may be unavailable in some models.",,intpp,,net_primary_mole_productivity_of_carbon,mol m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,intpp,ocnBgchem,,area: areacello,,
2.0,Primary Organic Carbon Production by Phytoplankton Based on NO3 Uptake,mol m-2 s-1,Vertically integrated primary (organic carbon) production by phytoplankton based on NO3 alone,,intpnew,,net_new_primary_mole_productivity_of_carbon,mol m-2 s-1,time: mean area: where sea,,,,,,real,longitude latitude time,intpnew,ocnBgchem,,area: areacello,,
2.0,Primary Organic Carbon Production by Diatoms,mol m-2 s-1,Vertically integrated primary (organic carbon) production by the diatom phytoplankton component alone,,intpdiat,,net_primary_mole_productivity_of_carbon_by_diatoms,mol m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,intpdiat,ocnBgchem,,area: areacello,,
3.0,Net Primary Mole Productivity of Carbon by Diazatrophs,mol m-2 s-1,,,,,net_primary_mole_productivity_of_carbon_by_diazatrophs,mol m-2 s-1,time: mean area: where sea,,,,,,real,longitude latitude time,0.0,ocnBgchem,,area: areacello,,
3.0,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton,mol m-2 s-1,,,,,net_primary_mole_productivity_of_carbon_by_calcareous_phytoplankton,mol m-2 s-1,time: mean area: where sea,,,,,,real,longitude latitude time,0.0,ocnBgchem,,area: areacello,,
3.0,Net Primary Mole Productivity of Carbon by Picophytoplankton,mol m-2 s-1,,,,,net_primary_mole_productivity_of_carbon_by_picophytoplankton,mol m-2 s-1,time: mean area: where sea,,,,,,real,longitude latitude time,0.0,ocnBgchem,,area: areacello,,
,,,,,,,,,,,,,,,,,,,,,,
3.0,Primary Organic Carbon Production by Other Phytoplankton,mol m-2 s-1,Vertically integrated total primary (organic carbon) production by other phytoplankton components alone,,intpmisc,,net_primary_mole_productivity_of_carbon_by_miscellaneous_phytoplankton,mol m-2 s-1,time: mean area: where sea,,,,,,real,longitude latitude time,intpmisc,ocnBgchem,,area: areacello,,
3.0,Iron Production,mol m-2 s-1,Vertically integrated biogenic iron production,,intpbfe,,tendency_of_ocean_mole_content_of_iron_due_to_biological_production,mol m-2 s-1,time: mean area: mean where sea,,,,,,real,longitude latitude time,intpbfe,ocnBgchem,,area: areacello,,
