Requested output: years requested for each expt./output table combination (see CFMIP output sheet for information on time-periods for saving the special CFMIP-focused output.,,,,red font means output should be reported for only a single member in the case of an ensemble of simulations,,,,,,,,,,,,,
,,,,blue font means this is a lower priority request,,,,,,,,,,,,,
"If a cell is shaded yellow,  none of the variables will  be part of the subset of model output that will be replicated at several locations (except, as noted by * or ** -- see note at right-- this may apply only to lower priority variables)",,,,"""all*"" indicates that although all years will be included in the ""replicated"" subset, only the high and medium priority variables will be included in the replicated subset.                                                                     ""all**"" indicates that although all years will be included in the ""replicated"" subset, only the highest priority variables will be included in the replicated subset ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"""decadal"" prediction experiments",,,Oclim,Oyr,Amon,Omon,,Lmon,Limon,Oimon,aero,,day,,6hrLev,6hrPlev,3hr
Experiment, Description,Expt. #,,,,lon x lat x olev,other,,,,lon x lat,lon x  lat x alev,subset of fields saved for selected expts. ,other,,,lon x lat
10-year predictions,10-year hindcasts/predictions,1.1,,all*,all,all**,all,all,all,all,all,year 10,,all,"for expt. initialized in late 1980, years late 1980-1990; for expt. initialized in late 2005, years late 2005-2015",all,all
30-year predictions,30-year hindcasts/predictions,1.2,,all*,all,all**,all,all,all,all,all,"years 10, 20, & 30",,all,"for expt. initialized in late 1980, years 1991-2010; for expt. initialized in late 2005, years 2016-2035",all,all
10-year predictions,increased ensemble size of 1.1,1.1-E,,all*,all,all**,all,all,all,all,all,year 10,,all,,all,all
30-year predictions,increased ensemble size of 1.2,1.2-E,,all*,all,all**,all,all,all,all,all,"years 10, 20, & 30",,all,,all,all
10-year predictions,additional start dates for expts. 1.1,1.1-I,,all*,all,all**,all,all,all,all,all,year 10,,all,,all,all
