,Description of key columns:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"""minimal model configuration"" lists minimal (combination) of components needed to carry out the experiment.  It is understood that it is o.k. to run these experiments with additional components (like interactive chemistry, carbon cycle, or ice-sheet model).  So enter, for example, ""AOGCM CHEM"" *only* if an interactive chemistry model is required in a coupled model experiment.  Similarly enter ""AOGCM BGM"" only if a biogechemical model is required in a coupled run.  Reserve the term ""ESM"" for use in AOGCM BGM simulations when atmospheric CO2 concentration is calculated (i.e., emission-driven runs of a ""AOGCM BGM"").  Options are: 
¥ AGCM (atmospheric general circulation model, with land model), 
¥ OGCM (ocean general circulation model with sea-ice model), 
¥ AOGCM (atmosphere-ocean global climate model), 
¥ LAND (the land model component of a model but run ÒofflineÓ), 
¥ ISM (ice-sheet model), 
",,,,,,,,,,,,,,,,,,,,,,,
,column G:    ,,,,"¥ BGM (biogeochemical  model that at the very least accounts for carbon reservoirs and fluxes in the atmosphere, terrestrial biosphere, and ocean; when run with atmospheric concentration calculated, specify ESM rather than ""AOGCM BCM""), 
¥ RAD (radiation code component of atmospheric model but run ÒofflineÓ),
¥ CHEM (for models that calculate ozone, rather than rely on prescribed concentrations,
¥ AER (for models that calculate tropospheric aerosols driven by emissions fluxes, rather than relying on prescribed concentrations),
¥ SLAB (a slab-ocean model).      
¥ ESM (AOGCM couple with a BCM and run with atmospheric concentration calculated, based on emissions, etc.;  for concentration-driven runs with a BCM, specify ""AOGCM BCM"")                                                    ",,,,,,,,,,,,,,,,,,,,,,,
,column O:,,,,"The experiment_id is used in constructing file names, and providing unique identifiers of experiments within CMIP6.",,,,,,,,,,,,,,,,,,,,,,,
,column V:,,,,Transcribe the experiment labels you plan to use in the final version of your GMD article into this column.  For those of you who  are using the experiment_id exclusively as your official labels in your GMD article column O and V will be the same. ,,,,,,,,,,,,,,,,,,,,,,,
,column W:,,,,Enter a short title that reminds users already familiar with your MIP experiments what experiment conditions are imposed.  Provide titles in red-shaded cells and check all other titles.,,,,,,,,,,,,,,,,,,,,,,,
,column X:,,,,"parent_experiment_id is defined as the experiment_id of the simulation that  provides the initial condiions for an experiment, but only if those initial conditions matter.  Especially check red-shaded cells.",,,,,,,,,,,,,,,,,,,,,,,
,column AA:,,,,"In this column, enter answers to questions, ask questions and provide comments/notes.  Please respond to issues raised in boxes shaded red.",,,,,,,,,,,,,,,,,,,,,,,
,hidden columns:,,,,"You may ignore all the ""hidden"" columns on this spread sheet at this time, even if the information is incorrect.  Also there is no need to correct columns B and F; they are included just to help you identify the experiment (but some of them may be somewhat wrong).  ",,,,,,,,,,,,,,,""","" means ""and""",""","" means ""and/or""",,,,,,,
,"IF YOU MAKE ANY CHANGES TO A CELL, PLEASE  FILL THE CELL WITH YELLOW AS DONE HERE.",,,,,,,,,,,,,,,,,,,CHEM and AER should not appear ,,,,,,,,
