description,original label,mip,# of sub-expts.,min ens. size,start year,end year,min. # yrs/sim,tier,experiment_id,seg-1,seg-2,seg-3,sub_ experiment_ id,required model components,additional allowed model components,experiment label used in final version of GMD article,experiment title,sub_experiment (title),parent_ experiment_id,parent_sub_ experiment_id,parent_activity_id,Questions/Comments/Notes,number of char.,
"Historical WMGHG and halocarbons concentrations,  1850 NTCF emissions",HISTghg,AerChemMIP,1,3,1850,2014,165,1,hist-piNTCF,hist,piNTCF,,none,AOGCM AER CHEM,BGM,hist-piNTCF,"historical forcing, but with pre-industrial NTCF emissions",none,piControl,none,CMIP,,11,
"Historical WMGHG, halocarbon concentrations and O3 precursor emissions, 1850 aerosol precursor emissions",HISTghgntcf,AerChemMIP,1,3,1850,2014,165,2,hist-piAer,hist,piAer,,none,AOGCM AER,CHEM BGM,hist-piAer,"historical forcing, but with pre-industrial aerosol emissions",none,piControl,none,CMIP,,10,
"Historical WMGHG concentrations and NTCF emissions, 1950 halocarbon concentrations, start 1950",HISTghgntcfhc1950,AerChemMIP,1,3,1950,2014,65,1,hist-1950HC,hist,1950HC,,none,AOGCM AER CHEM,BGM,hist-1950HC,"historical forcing, but with1950s halocarbon concentrations; initialized in 1950",none,historical,none,CMIP,,11,
Historical transient with SSTs prescribed from historical,,AerChemMIP,1,1,1850,2014,165,1,histSST,histSST,,,none,AGCM AER,CHEM,histSST,historical prescribed SSTs and historical forcing,none,,,,,7,
"Historical WMGHG concentrations and halocarbons emissions, 1850 NTCF emissions, prescribed SSTs",HISTsstghgntcf1850,AerChemMIP,1,1,1850,2014,165,1,histSST-piNTCF,histSST,piNTCF,,none,AGCM AER CHEM,,histSST-piNTCF,"historical SSTs and historical forcing, but with pre-industrial NTCF emissions",none,,,,,14,
"Historical WMGHG, halocarbon concentrations and tropospheric ozone precursors emissions, 1850 aerosol precursor emissions, prescribed SSTs",HISTsstghgntcf,AerChemMIP,1,3,1850,2014,165,2,histSST-piAer,histSST,piAer,,none,AGCM AER,CHEM,histSST-piAer,"historical SSTs and historical forcing, but with pre-industrial aerosol emissions",none,,,,,13,
"Historical WMGHG, halocarbon concentrations and aerosol precursor emissions, 1850 tropospheric ozone precursors  emissions, prescribed SSTs",HISTsstghg,AerChemMIP,1,1,1850,2014,165,2,histSST-piO3,histSST,piO3,,none,AGCM AER CHEM,,histSST-piO3,"historical SSTs and historical forcing, but with pre-industrial ozone precursor emissions",none,,,,,12,
"Historical WMGHG concentrations and NTCF emissions, 1950 halocarbon concentrations",HISTsstghgntcfhc1950,AerChemMIP,1,1,1950,2014,65,1,histSST-1950HC,histSST,1950HC,,none,AGCM AER CHEM,,histSST-1950HC,"historical SSTs and historical forcing, but with1950 halocarbon concentrations",none,,,,,14,
"Historical (non-CH4) WMGHG concentrations and NTCF emissions, 1850 CH4 concentrations",WMFORCch4,AerChemMIP,1,1,1850,2014,165,1,histSST-piCH4,histSST,piCH4,,none,AGCM AER CHEM,,histSST-piCH4,"historical SSTs and historical forcing, but with pre-industrial methane concentrations",none,,,,,13,
"Historical (non-N2O) WMGHG concentrations and NTCF emissions, 1850 N2O concentrations",WMFORCn20,AerChemMIP,1,1,1850,2014,165,2,histSST-piN2O,histSST,piN2O,,none,AGCM AER CHEM,BGM,histSST-piN2O,"historical SSTs and historical forcings, but with pre-industrial N2O concentrations",none,,,,,13,
Future scenario with high radiative forcing by the end of century. Reaches about 7.0 W/m2 by 2100; fills gap in RCP forcing pathways between 6.0 and 8.5 W/m2. Concentration-driven.,NtcfrespSsp37,ScenarioMIP ,1,3,2015,2055,41,1,,,,,,,,ssp370,Gap-filling scenario reaching 7.0 based on SSP3,,,,,special output requested.,,
Future SSP3-7.0 with reduced NTCF emissions,NtcfrespSsp37ntcf,AerChemMIP,1,3,2015,2055,41,1,ssp370-lowNTCF,ssp370,lowNTCF,,none,AOGCM AER,CHEM BGM,ssp370-lowNTCF,"SSP3-7.0, with low NTCF emissions",none,historical,none,CMIP,,14,
"Future SSP3-7.0, with SSTs prescribed  from ssp370",NTCFRESPcntrl,AerChemMIP,1,1,2015,2055,41,1,ssp370SST,ssp370SST,,,none,AGCM AER,CHEM,ssp370SST,"SSP3-7.0, with  SSTs prescribed from ssp370",none,,,,,9,
